;Strategy;MA1;MA2;Start;End;Duration;Equity Start [$];Equity Final [$];Equity Peak [$];Commissions [$];Cum Return [%];Return (Ann.) [%];Volatility (Ann.) [%];CAGR [%];Sharpe Ratio;Skew;Kurtosis;Smart Sharpe Ratio;Sortino Ratio;VWR Ratio;Calmar Ratio;Recovery factor [%];Max. Drawdown [%];Avg. Drawdown [%];Max. Drawdown Duration;Avg. Drawdown Duration;Drawdown Peak;# Trades;Win Rate [%];Best Trade [%];Worst Trade [%];Avg. Trade [%];Max. Trade Duration;Avg. Trade Duration;Profit Factor;Expectancy [%];SQN;Kelly Criterion [%]
0;SmaCross;10;50;2010-01-04;2024-12-31;5475 days;1000000.0;4188668.553565583;4913810.05080435;0.0;318.8669;10.0395;16.8103;6.819999999999999;0.6533;-0.1167;9.0822;0.5395;0.9461;3.6048;0.338;5.5358;-29.704;-3.2255;1098 days;48 days;2023-03-01;50;48.0;27.4678;-11.0;3.21;256 days;74 days;1.1507;0.0436;2.0105;28.9543
1;SmaCross;10;55;2010-01-04;2024-12-31;5475 days;1000000.0;4333700.432374533;5087365.077807641;0.0;333.37;10.29;16.8523;6.98;0.6656;-0.1571;9.3777;0.5388;0.9636;3.6821;0.3472;5.6664;-29.6403;-3.1894;827 days;44 days;2023-03-01;41;51.2195;28.374;-11.1497;4.0542;262 days;90 days;1.1541;0.0445;2.0614;31.9269
2;SmaCross;10;60;2010-01-04;2024-12-31;5475 days;1000000.0;4671951.176397486;5588747.348524516;0.0;367.1951;10.845;17.0591;7.35;0.689;-0.1096;9.0558;0.5569;1.0033;3.8533;0.3646;5.9171;-29.7425;-3.2663;823 days;40 days;2023-01-30;38;47.3684;74.0279;-11.1072;4.6047;629 days;97 days;1.1597;0.0466;1.8073;29.4843
3;SmaCross;10;65;2010-01-04;2024-12-31;5475 days;1000000.0;4709982.869475704;5656125.700274504;0.0;370.9983;10.905;17.0802;7.39;0.6916;-0.1314;9.0693;0.5561;1.0049;3.8716;0.3747;6.0762;-29.107;-3.2383;923 days;43 days;2023-01-30;37;43.2432;73.1228;-11.1469;4.7109;628 days;100 days;1.1606;0.0469;1.7976;26.6267
4;SmaCross;10;70;2010-01-04;2024-12-31;5475 days;1000000.0;4811946.3405280085;5696067.397313157;0.0;381.1946;11.0638;17.1492;7.5;0.6978;-0.1216;9.0306;0.5601;1.0148;3.9205;0.4068;6.5873;-27.2004;-3.3442;955 days;43 days;2023-01-30;36;50.0;69.7794;-10.5054;4.8914;629 days;103 days;1.1618;0.0475;1.8491;31.4215
5;SmaCross;10;75;2010-01-04;2024-12-31;5475 days;1000000.0;5293772.733557967;6414363.245240129;0.0;429.3773;11.7739;17.3664;7.969999999999999;0.728;-0.1437;8.8082;0.5737;1.0586;4.1399;0.3994;6.4204;-29.4823;-2.8998;861 days;39 days;2023-01-30;35;45.7143;76.4536;-10.0565;5.3272;630 days;107 days;1.1687;0.0502;1.7997;29.8128
6;SmaCross;10;80;2010-01-04;2024-12-31;5475 days;1000000.0;5615025.544542421;6846154.177102058;0.0;461.5026;12.2146;17.435;8.27;0.7484;-0.1656;8.6734;0.5815;1.0862;4.2763;0.427;6.83;-28.6039;-2.9012;816 days;38 days;2022-12-28;35;40.0;110.801;-9.7487;5.5161;831 days;108 days;1.1728;0.0518;1.6887;26.0609
7;SmaCross;10;85;2010-01-04;2024-12-31;5475 days;1000000.0;6354134.242059113;7578121.119679642;0.0;535.4134;13.1453;17.6991;8.88;0.7866;-0.2158;9.2375;0.577;1.1411;4.5652;0.5139;8.1491;-25.5787;-2.991;900 days;37 days;2022-12-28;30;40.0;110.2177;-9.4249;6.8337;836 days;126 days;1.1831;0.0552;1.7711;27.0444
8;SmaCross;10;90;2010-01-04;2024-12-31;5475 days;1000000.0;5243554.482330055;6502301.631814955;0.0;424.3554;11.7028;17.7572;7.93;0.7123;-0.2236;9.2123;0.5547;1.0287;4.1178;0.4487;7.2618;-26.0789;-3.3983;935 days;40 days;2016-07-19;29;41.3793;101.5647;-10.6778;6.3726;837 days;130 days;1.1643;0.0502;1.682;26.7262
9;SmaCross;10;95;2010-01-04;2024-12-31;5475 days;1000000.0;6374753.416457324;7894038.25948685;0.0;537.4753;13.1698;18.4986;8.9;0.7617;-0.2487;16.5616;0.4327;1.1024;4.5727;0.5002;8.0132;-26.3265;-2.9789;925 days;34 days;2020-03-16;26;50.0;105.0259;-10.1423;8.1318;838 days;146 days;1.1813;0.0559;1.9567;36.2278
10;SmaCross;15;50;2010-01-04;2024-12-31;5475 days;1000000.0;4055599.828876375;4993324.190267522;0.0;305.56;9.8025;17.1884;6.660000000000001;0.6301;-0.087;8.7239;0.5334;0.9131;3.5317;0.3199;5.2925;-30.6407;-3.2609;948 days;47 days;2023-03-01;45;46.6667;51.5566;-10.2644;3.4944;527 days;82 days;1.1446;0.043;1.7504;26.3157
11;SmaCross;15;55;2010-01-04;2024-12-31;5475 days;1000000.0;3552052.9790279255;4586579.350204645;0.0;255.2053;8.8345;17.1176;6.01;0.5803;-0.1324;9.1813;0.4981;0.8371;3.2336;0.3045;5.1265;-29.012;-3.2994;979 days;46 days;2023-03-01;40;42.5;51.5566;-9.3791;3.6313;527 days;91 days;1.1338;0.0394;1.7608;24.6659
12;SmaCross;15;60;2010-01-04;2024-12-31;5475 days;1000000.0;4755716.136354371;5844232.445326775;0.0;375.5716;10.9766;17.298;7.4399999999999995;0.6888;-0.0936;9.0908;0.5576;1.0027;3.8943;0.3915;6.3627;-28.0357;-3.0567;1245 days;42 days;2013-02-07;34;44.1176;78.6501;-10.1664;5.2057;630 days;108 days;1.1608;0.0473;1.9646;30.3849
